"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
833,"NCT03907631","Multi-centre Acute Severe Ulcerative Colitis Prospective Cohort Study (Elevate ASUC)","ELEVATE-ASUC","Recruiting","No Results Available","Severe Ulcerative Colitis","Other: Standard of care","In Hospital Outcomes|Colectomy rates|Long-term response to medical management|Risk factors for need for rescue","Hull University Teaching Hospitals NHS Trust","All","18 Years to 80 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","259837","October 18, 2019","September 1, 2020","September 1, 2021","April 9, 2019",,"February 5, 2020","Gastroenterology, Hull Royal Infirmary, Hull University Teaaching Hospitals NHS Trust, Hull, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03907631"
834,"NCT03872271","Is Diverting Loop Ileostomy Necessary in Completion Proctectomy With Ileal Pouch Anal- Anastomosis: A Multicentre, Randomized Study of the GETAID Chirurgie Group. IDEAL Trial","IDEAL","Not yet recruiting","No Results Available","Ulcerative Colitis|Ileostomy - Stoma","Procedure: ileal pouch-anal anastomosis with diverting loop ileastomy","6-month global postoperative morbidity","Assistance Publique Hopitaux De Marseille","All","18 Years and older   (Adult, Older Adult)","Not Applicable","194","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2019-04|2019-A00687-50","September 1, 2019","August 31, 2023","December 31, 2023","March 13, 2019",,"March 13, 2019","Assistance Publique Hôpitaux de Marseille, Marseille, France",,"https://ClinicalTrials.gov/show/NCT03872271"
835,"NCT03869905","Aquamin® as an Adjuvant Intervention for Ulcerative Colitis",,"Recruiting","No Results Available","Ulcerative Colitis","Drug: Aquamin®|Drug: Placebo first then Aquamin®","Change in ulcerative colitis clinical features / presentation as measured by the Inflammatory Bowel Disease Questionnaire (IBDQ) score|Change in clinical assessment /gastroenterologist's endoscopic findings based on Ulcerative Colitis Disease Activity Index (UCDAI)/Mayo Scoring|Change in Cytokine levels of the colon tissue as measured by Interleukin 8 (IL-8) levels assessed by enzyme-linked immunosorbent assay (ELISA)|Change in serum C-reactive protein (CRP) levels as measured in a blood sample.|Change in fecal calprotectin levels measured in a stool sample|Changes in serum liver function tests","James Varani|University of Michigan","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","HUM00156676","August 8, 2019","May 2023","December 2023","March 11, 2019",,"April 8, 2021","The University of Michigan, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT03869905"
836,"NCT03861143","Efficacy and Safety of Oral BT-11 in Mild to Moderate Ulcerative Colitis",,"Active, not recruiting","No Results Available","Ulcerative Colitis","Drug: BT-11 (500 mg)|Drug: BT-11 (1000 mg)|Drug: Placebo","Clinical remission rate|Endoscopic remission rate|Mucosal healing rate|Mean change in fecal calprotectin from baseline|Concentration of BT-11 in feces|Number of participants with treatment-related adverse events","Landos Biopharma Inc.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","198","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","BT-11-201","August 14, 2019","July 2021","July 2021","March 4, 2019",,"June 29, 2021","Axis Clinical Trials, Los Angeles, California, United States|Ventura Clinical Trials, Ventura, California, United States|Clinical Research of California, Walnut Creek, California, United States|Medycal Research Inc., Brooksville, Florida, United States|Invesclinic.U.S,LLC.FL, Fort Lauderdale, Florida, United States|I.H.S Health LLC, Kissimmee, Florida, United States|Smart Medical Research, Richmond Hill, New York, United States|Invesclinic.U.S,LLC., McAllen, Texas, United States|Texas Gastroenterology Associates, Spring, Texas, United States|Polyclinic and Daily hospital ""Dr Al Tawil"", Sarajevo, Federation BiH, Bosnia and Herzegovina|Cantonal Hospital Zenica, Gastroenterology, Zenica, Bosnia and Herzegovina|Polyclinic Duvnjak, Zagreb, Croatia|Centrum Badan Klinicznych PI-House Sp. z o.o., Gdańsk, Pomorskie, Poland|RIVERM E D Sp. zo.o., Poznań, Wielkopolskie, Poland|Municipal Non-profit Enterprise ""City Outpatient Clinic No 9 of Kharkiv City Council, Surgery department, Kharkiv, Kharkiv, Ukraine|Multidisciplinary Medical Center of Odesa National Medical University, First Surgery Department ,Odesa National Medical University , Chair of General and Military Surgeon, Odesa, Ukraine",,"https://ClinicalTrials.gov/show/NCT03861143"
837,"NCT03840928","AR-Power Patient Powered Research Network","GHLF","Recruiting","No Results Available","Rheumatoid Arthritis|Ankylosing Spondylitis|Fibromyalgia|Gout|Crohn Disease|Juvenile Idiopathic Arthritis|Lupus Erythematosus|Myositis|Osteoarthritis|Osteoporosis|Psoriasis|Psoriatic Arthritis|Scleroderma",,"Pain Interference (PROMIS)|Fatigue (PROMIS)|Sleep Disturbance (PROMIS)|Physical Function (PROMIS)|RAPID-3 (MD-HAQ with visual analogue scale for pain and patient global measure for overall health)","Global Healthy Living Foundation|University of Alabama at Birmingham","All","19 Years and older   (Adult, Older Adult)",,"9867","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","GlobalHealthyLivingF","April 1, 2015","March 1, 2025","March 1, 2025","February 15, 2019",,"February 2, 2021","Global Healthy Living Foundation, Upper Nyack, New York, United States",,"https://ClinicalTrials.gov/show/NCT03840928"
838,"NCT03824561","Specified Drug-Use Survey on Vedolizumab for IV Infusion 300 mg [Ulcerative Colitis]",,"Recruiting","No Results Available","Ulcerative Colitis","Drug: Vedolizumab","Number of Participants who have One or More Adverse Events|Number of Participants who have One or More Adverse Drug Reactions|Number of Participants who have a Presence or Absence of Therapeutic Response After 3 Doses of Vedolizumab|Number of Participants who continue the Therapy After 3 Doses of Vedolizumab|Change from Baseline in Complete Mayo Scores|Change from Baseline in Partial Mayo Scores|Change from Baseline in Quality of Life (QOL) Assessment using Short Inflammatory Bowel Disease Questionnaire (SIBDQ)|Change from Baseline in Fecal Calprotectin","Takeda","All","Child, Adult, Older Adult",,"1000","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","Vedolizumab-5033|JapicCTI-194603","February 1, 2019","October 31, 2023","October 31, 2023","January 31, 2019",,"April 19, 2021","Takeda Selected Site, Tokyo, Japan",,"https://ClinicalTrials.gov/show/NCT03824561"
839,"NCT03808506","Relationship Between Baseline Burden of Disease and TDM in Ulcerative Colitis",,"Recruiting","No Results Available","Ulcerative Colitis","Diagnostic Test: Fecal calprotectin","Baseline fecal calprotectin concentration|Post Induction fecal calprotectin concentration|Baseline Mayo Endoscopic Score|Baseline bowel ultrasound inflammatory score","Lawson Health Research Institute","All","18 Years and older   (Adult, Older Adult)",,"29","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","113446","September 1, 2019","June 30, 2021","June 30, 2021","January 17, 2019",,"February 25, 2020","London Health Sciences Center, London, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03808506"
840,"NCT03804931","Fecal Microbiota Transplantation for Ulcerative Colitis",,"Recruiting","No Results Available","Ulcerative Colitis|Fecal Microbiota Transplantation","Procedure: Fecal microbiota transplantation|Procedure: Infusion of Saline|Drug: 5-Aminosalicylic acid(5-ASA) and/or Prednisone","Clinical remission in patient as assessed using Mayo score|Clinical improvement in patient as assessed using Mayo score|Intestinal microbiota changing","Guangzhou First People's Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2|Phase 3","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","K-2017-103-01","January 20, 2019","December 31, 2028","December 31, 2030","January 15, 2019",,"January 15, 2019","Guangzhou First People's Hospital, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03804931"
841,"NCT03773952","Safety and Efficacy of PBF-677 in Ulcerative Colitis Patients","ADENOIBD","Recruiting","No Results Available","Ulcerative Colitis","Drug: PBF-677|Drug: Placebo oral capsule","Number of subjects with treatment-related adverse events as assessed by CTCAE v4.03""|Effect of PBF-677 on Faecal calprotectin levels|Effect of PBF-677 on Ulcerative Colitis activity|Pharmacokinetic PBF-677 peak concentration in plasma|Pharmacokinetic Time to PBF-677 peak concentration in plasma ""Tmax""|Pharmacokinetic Area under curve (AUC) of PBF-677 in plasma|Pharmacokinetic Ctrough plasma concentration of PBF-677","Palobiofarma SL|Qualitecfarma","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","50","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PBF-677-3","July 1, 2018","August 31, 2021","October 30, 2021","December 12, 2018",,"September 21, 2020","Unidad de Enfermedad Inflamatoria Intestinal / IBD Unit. Servicio de Gastroenterología y Hepatología / Gastroenterology and Hepatology Dpt. Study Medical Coordinator Hospital Universitario Puerta de Hierro, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT03773952"
842,"NCT03765450","Pharmacokinetics of IFX and TNF Concentrations in Serum, Stool, and Colonic Mucosa in Acute Severe Ulcerative Colitis","PROTOS","Recruiting","No Results Available","Ulcerative Colitis","Drug: Infliximab","Inter-compartmental Difference in Infliximab Concentration|Change in Proteome|Change in Transcriptome|Change in Robarts Histopathologic Index|Change in Mayo Clinic Endoscopic Score","Alimentiv Inc.","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RP1713","December 21, 2018","December 2021","December 2021","December 5, 2018",,"December 2, 2020","UCSD, San Diego, California, United States|Cornell University, New York, New York, United States|London Health Sciences Center, London, Ontario, Canada|Mount Sinai Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03765450"
843,"NCT03760003","Dose-Ranging Phase 2b Study of ABX464 in Moderate to Severe Ulcerative Colitis",,"Active, not recruiting","No Results Available","Ulcerative Colitis","Drug: ABX464 25mg|Drug: ABX464 50mg|Drug: ABX464 100mg|Drug: Placebo","Modified Mayo Score|Clinical remission|Endoscopic Improvement|fecal calprotectin|C Reactive Protein|miR-124 expression|Inflammatory Infiltrate","Abivax S.A.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","254","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ABX464-103","June 11, 2019","May 15, 2021","June 30, 2021","November 30, 2018",,"January 28, 2021","UCSD Health System, San Diego, California, United States|Atlanta Center for Gastroenterology, P.C, Decatur, Georgia, United States|Central Texas Clinical Research, LLC, Austin, Texas, United States|Southern Star Research Institute, LLC, San Antonio, Texas, United States|Medizinische Universität Innsbruck, Innsbruck, Austria|Klinikum Klagenfurt am Wörthersee, Klagenfurt, Austria|Ordensklinikum Linz GmbH - Barmherzige Schwestern, Linz, Austria|AKH - Medizinische Universität Wien, Vienna, Austria|Gomel Regional Clinical Hospital, Gomel, Belarus|Minsk city diagnostic center, Minsk, Belarus|Regional Clinical Hospital, Minsk, Belarus|Vitebsk Regional Clinical Hospital, Vitebsk, Belarus|Vitebsk regoinal clinical specialized center, Vitebsk, Belarus|AZ Sint-Lucas, Brugge, Belgium|C. H. U. St-Pierre, Brussels, Belgium|UZA, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|UZ Leuven, Leuven, Belgium|Brandon Medical Arts Clinic, Brandon, Canada|South Edmonton Gastroenterology, Edmonton, Canada|LHSC - Victoria Hospital, London, Canada|The Ottawa Hospital - General Campus, Ottawa, Canada|Allen Whey Khye Lim Professional Corporation, Saskatoon, Canada|Mount Sinai Hospital, Toronto, Canada|Fakultni nemocnice u sv. Anny v Brne, Brno, Czechia|Hepato-Gastroenterologie HK s.r.o., Hradec Kralove, Czechia|MUDr. GREGAR s.r.o., Olomouc, Czechia|Fakultni nemocnice Ostrava, Ostrava-Kunčice, Czechia|Nemocnice Na Bulovce, Praha, Czechia|Thomayerova nemocnice, Praha, Czechia|Nemocnice Slany, Slany, Czechia|CHU Amiens - Hopital Sud, Amiens, France|CHU Besançon - Hôpital Jean Minjoz, Besançon, France|CHU Clermont Ferrand - Hôpital d'Estaing, Clermont-Ferrand, France|Hôpital Beaujon, Clichy, France|CHU de Grenoble - Hôpital Nord, Grenoble, France|Centre Hospitalier Départemental Les Oudairies, La Roche-sur-Yon, France|CHU Lille - Hôpital Claude Huriez, Lille, France|Hôpital Nord - CHU Marseille, Marseille, France|Hopital Saint Eloi, Montpellier, France|CHU Nantes - Hôtel Dieu, Nantes, France|CHU Nice - Hôpital de l'Archet 2, Nice, France|CHU Reims - Hôpital Robert Debré, Reims, France|CHU Rennes - Hôpital Pontchaillou, Rennes, France|CHU de Rouen - Hôpital Charles Nicolle, Rouen, France|CHU Saint Etienne - Hôpital Nord, Saint-Étienne, France|CHU Strasbourg - Hôpital Hautepierre, Strasbourg, France|Hopital Rangueil, Toulouse, France|Hôpital de Brabois Adultes, Vandœuvre-lès-Nancy, France|Charite Universitaetsmedizin Berlin - Campus Benjamin Franklin, Berlin, Germany|Florence-Nightingale-Krankenhaus-Diakonie Kaiserswerth, Düsseldorf, Germany|Klinikum der Johann Wolfgang Goethe-Universitaet, Frankfurt, Germany|Studiengesellschaft BSF Unternehmergesellschaft haftungsbeschraenkt, Halle, Germany|Universitaetsklinikum Halle (Saale), Halle, Germany|Medizinische Hochschule Hannover, Hanover, Germany|Johanna-Etienne-Krankenhaus, Neuss, Germany|Tumorzentrum Nordthueringen MVZ GmbH, Nordhausen, Germany|Dr. Tasso Bieler, Riesa, Germany|Universitaetsklinikum Ulm, Ulm, Germany|DRC Gyogyszervizsgalo Kozpont Kft., Balatonfured, Hungary|Obudai Egeszsegugyi Centrum Kft., Budapest, Hungary|Pannonia Maganorvosi Centrum, Budapest, Hungary|Semmelweis Egyetem, Budapest, Hungary|Debreceni Egyetem, Debrecen, Hungary|Vasutegeszsegugyi Kft. - Debreceni Egeszsegugyi Kozpont, Debrecen, Hungary|Petz Aladar Megyei Oktato Korhaz, Győr, Hungary|Azienda Ospedaliera Universitaria Policlinico Sant'Orsola Malpighi, Bologna, Italy|Fondazione Poliambulanza Istituto Ospedaliero, Brescia, Italy|Azienda Ospedaliero Universitaria Mater Domini, Catanzaro, Italy|I.R.C.C.S Policlinico San Donato, Milano, Italy|Ospedale Sacro Cuore Don Calabria, Negrar, Italy|Azienda Ospedaliera di Padova, Padova, Italy|Azienda Ospedaliero Universitaria Policlinico Paolo Giaccone, Palermo, Italy|Azienda Ospedaliero Universitaria Pisana (Presidio di Cisanello), Pisa, Italy|Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, Italy|Istituto Clinico Humanitas, Rozzano, Italy|Szpital Uniwersytecki nr 2 im.dr J. Biziela, Bydgoszcz, Poland|Uniwersyteckie Centrum Kliniczne, Gdansk, Poland|Centrum Medyczne Plejady, Kraków, Poland|Santa Familia Centrum Badan, Profilaktyki i Leczenia, Lodz, Poland|Wojskowy Szpital Kliniczny w Lublinie, Lublin, Poland|Trialmed CRS, Piotrkow Trybunalski, Poland|Centrum Medyczne Grunwald, Poznan, Poland|KO-MED Centra Kliniczne Pulawy, Pulawy, Poland|Gabinet Lekarski Bartosz Korczowski, Rzeszow, Poland|Centrum Zdrowia MDM, Warszawa, Poland|Nzoz Vivamed, Warszawa, Poland|Centrum Zdrowia Tuchow Sp. z o.o., Wierzchosławice, Poland|Centrum Badan Klinicznych Piotr Napora Lekarze Spolka Partnerska, Wroclaw, Poland|Centrum Medyczne Oporow, Wroclaw, Poland|LexMedica, Wroclaw, Poland|Clinical Center Zvezdara, Belgrade, Serbia|Clinical Center "" Dr Dragisa Misovic Dedinje"", Belgrad, Serbia|Clinical Center Bezanijska Kosa, Belgrad, Serbia|General Hospital Uzice, Užice, Serbia|General Hospital ""Djordje Joanovic"", Zrenjanin, Serbia|Alian s.r.o., Bardejov, Slovakia|Cliniq s.r.o., Bratislava, Slovakia|Gastromedic, s.r.o., Nové Zámky, Slovakia|Gastro I, s.r.o., Prešov, Slovakia|Endomed, s.r.o., Vranov Nad Topľou, Slovakia|Accout Center s.r.o., Šahy, Slovakia|General Hospital Celje, Celje, Slovenia|University Medical Centre Maribor, Maribor, Slovenia|General Hospital Murska Sobota, Murska Sobota, Slovenia|Centro Médico Teknon, Barcelona, Spain|Hospital Universitario Reina Sofia, Córdoba, Spain|Hospital Universitario de Gran Canaria Dr. Negrin, Las Palmas De Gran Canaria, Spain|Hospital Quironsalud Malaga, Málaga, Spain|CNE Cherkasy Regional Hospital of Cherkasy Regional Council, Cherkasy, Ukraine|I.I.Mechnykov Dnipropetrovsk Regional Clinical Hospital, Dnipro, Ukraine|Central City Clinical Hospital Dept of Theraphy No. 2 SHEI Ivano-Frankivsk NMU, Ivano-Frankivs'k, Ukraine|CHI Kharkiv City Clinical Hospital #13, Kharkiv, Ukraine|CNE Prof. O.O. Shalimov Kharkiv City Clinical Hospital #2 of KCC, Kharkiv, Ukraine|Communal Non-commercial Enterprise of Kharkiv Regional Council Regional Clinical Hospital, Kharkiv, Ukraine|CI Kherson CCH, Kherson, Ukraine|Khmelnytska Regional Hospital, Khmelnytskyi, Ukraine|Communal Institution of Kyiv Regional Council Kyiv Regional Clinical Hospital, Kyiv, Ukraine|Lviv Regional Clinical Hospital D.Halytskyi Lviv NMU, Lviv, Ukraine|Ternopil University Hospital, Ternopil', Ukraine|CCH #1 Vinnytsia M.I. Pyrogov NMU Ch of Propaedeutics of IM, Vinnytsia, Ukraine|M.I. Pyrogov VRCH Dept of Gastroenterology M.I. Pyrogov VNMU, Vinnytsia, Ukraine|MCIC MC LLC Health Clinic, Vinnytsia, Ukraine|CI City Clinical Hospital #6 Dept of Gastroenterology, Zaporizhzhia, Ukraine|CNCE ""City Hospital 9"" Zaporizhzhia CC, Zaporizhzhia, Ukraine|A. Novak Transcarpathian Regional Clinical Hospital, Úzhgorod, Ukraine|Fairfield General Hospital, Bury, United Kingdom|Guy's Hospital, London, United Kingdom|University College London Hospitals, London, United Kingdom|Nottingham University Hospitals Queen's Medical Centre, Nottingham, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03760003"
844,"NCT03759041","A Study to Assess Efficacy and Safety of SER-287 in Adults With Active Mild-to-Moderate Ulcerative Colitis","ECO-RESET","Active, not recruiting","No Results Available","Ulcerative Colitis","Drug: Vancomycin Pre-Treatment|Drug: Placebo for Vancomycin Pre-Treatment|Drug: SER-287|Drug: Placebo for SER-287","Clinical Remission|Endoscopic Improvement","Seres Therapeutics, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","201","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SERES-201","December 19, 2018","June 2021","July 2022","November 29, 2018",,"March 17, 2021","(Investigator site), Phoenix, Arizona, United States|(Investigator site), North Little Rock, Arkansas, United States|(Investigator site), La Jolla, California, United States|(Investigator site), Lancaster, California, United States|(Investigator site), Los Angeles, California, United States|(Investigator site), Mountain View, California, United States|(Investigator site), San Diego, California, United States|(Investigator site), San Diego, California, United States|(Investigator site), Wheat Ridge, Colorado, United States|(Investigator site), Danbury, Connecticut, United States|(Investigator site), Hamden, Connecticut, United States|(Investigator site), Boca Raton, Florida, United States|(Investigator site), Clearwater, Florida, United States|(Investigator site), Crystal River, Florida, United States|(Investigator site), Fort Lauderdale, Florida, United States|(Investigator site), Hialeah, Florida, United States|(Investigator site), Jacksonville, Florida, United States|(Investigator site), Miami, Florida, United States|(Investigator site), Miami, Florida, United States|(Investigator site), Naples, Florida, United States|(Investigator site), Ocala, Florida, United States|(Investigator site), Orlando, Florida, United States|(Investigator site), Pompano Beach, Florida, United States|(Investigator site), Port Orange, Florida, United States|(Investigator site), Tampa, Florida, United States|(Investigator site), Athens, Georgia, United States|(Investigator site), Atlanta, Georgia, United States|(Investigator site), Marietta, Georgia, United States|(Investigator site), Chicago, Illinois, United States|(Investigator site), Chicago, Illinois, United States|(Investigator site), Chicago, Illinois, United States|(Investigator site), Indianapolis, Indiana, United States|(Investigator site), Lexington, Kentucky, United States|(Investigator site), Lake Charles, Louisiana, United States|(Investigator site), Metairie, Louisiana, United States|(Investigator site), Monroe, Louisiana, United States|(Investigator site), New Orleans, Louisiana, United States|(Investigator site), Shreveport, Louisiana, United States|(Investigator site), Baltimore, Maryland, United States|(Investigator site), Glen Burnie, Maryland, United States|(Investigator site), Ann Arbor, Michigan, United States|(Investigator site), Farmington Hills, Michigan, United States|(Investigator site), Rochester, Minnesota, United States|(Investigator site), Bridgeton, Missouri, United States|(Investigator site), Creve Coeur, Missouri, United States|(Investigator site), Las Vegas, Nevada, United States|(Investigator site), Reno, Nevada, United States|(Investigator site), Lebanon, New Hampshire, United States|(Investigator site), Great Neck, New York, United States|(Investigator site), Hartsdale, New York, United States|(Investigator site), New York, New York, United States|(Investigator site), New York, New York, United States|(Investigator site), Asheville, North Carolina, United States|(Investigator site), Chapel Hill, North Carolina, United States|(Investigator site), Durham, North Carolina, United States|(Investigator site), Raleigh, North Carolina, United States|(Investigator site), Winston-Salem, North Carolina, United States|(Investigator site), Winston-Salem, North Carolina, United States|(Investigator site), Cincinnati, Ohio, United States|(Investigator site), Oklahoma City, Oklahoma, United States|(Investigator site), Columbia, South Carolina, United States|(Investigator site), Greenville, South Carolina, United States|(Investigator site), Memphis, Tennessee, United States|(Investigator site), Nashville, Tennessee, United States|(Investigator site), Bedford, Texas, United States|(Investigator site), Fort Sam Houston, Texas, United States|(Investigator site), Houston, Texas, United States|(Investigator site), Houston, Texas, United States|(Investigator site), Houston, Texas, United States|(Investigator site), McAllen, Texas, United States|(Investigator site), San Antonio, Texas, United States|(Investigator site), Temple, Texas, United States|(Investigator site), Ogden, Utah, United States|(Investigator site), Salt Lake City, Utah, United States|(Investigator site), Leesburg, Virginia, United States|(Investigator site), Lynchburg, Virginia, United States|(Investigator site), Reston, Virginia, United States|(Investigator site), Richmond, Virginia, United States|(Investigator site), Spokane, Washington, United States|(Investigator site), Madison, Wisconsin, United States|(Investigator site), Milwaukee, Wisconsin, United States|(Investigator site), Edmonton, Alberta, Canada|(Investigator site), Edmonton, Alberta, Canada|(Investigator site), New Westminster, British Columbia, Canada|(Investigator site), Bridgewater, Ontario, Canada|(Investigator site), Lindsay, Ontario, Canada|(Investigator site), London, Ontario, Canada|(Investigator site), London, Ontario, Canada|(Investigator site), Sudbury, Ontario, Canada|(Investigator site), Toronto, Ontario, Canada|(Investigator site), Vaughan, Ontario, Canada|(Investigator site), Greenfield Park, Quebec, Canada|(Investigator site), Saskatoon, Saskatchewan, Canada",,"https://ClinicalTrials.gov/show/NCT03759041"
845,"NCT02538341","Safety and Effectiveness of Live Zoster Vaccine in Anti-Tumor Necrosis Factor (TNF) Users (VERVE Trial)",,"Active, not recruiting","No Results Available","Rheumatoid Arthritis|Inflammatory Arthritis|Arthritis|Psoriatic Arthritis|Psoriasis|Ankylosing Spondylitis|Enteropathic Arthritis|Crohn's Disease","Biological: Herpes Zoster Vaccine|Drug: Placebo","Immunogenicity measured at 6 weeks.|The clinical effectiveness of the HZ vaccine in reducing longer-term HZ risk|Estimate vaccine safety|Vaccine tolerability|Evaluate RA disease activity","University of Alabama at Birmingham|Oregon Health and Science University","All","50 Years and older   (Adult, Older Adult)","Phase 2","617","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","VERVE-UM1","May 2016","December 2019","December 2020","September 2, 2015",,"July 20, 2020","Rheumatology Associates, PC, Birmingham, Alabama, United States|Total Skin and Beauty Dermatology Center, PC, Birmingham, Alabama, United States|University of Alabama at Birmingham, Birmingham, Alabama, United States|Rheumatology Associates of North Alabama, PC, Huntsville, Alabama, United States|Clinical and Translational Research Center of Alabama, PC, Tuscaloosa, Alabama, United States|SunValley Arthritis Center, Ltd, Peoria, Arizona, United States|Arthritis Association of Southern California, Los Angeles, California, United States|The Regents of the University of California Los Angeles, Los Angeles, California, United States|Rheumatology Consultants of Delaware dba Delaware Arthritis, Lewes, Delaware, United States|Center for Arthritis and Rheumatic Diseases, Miami, Florida, United States|Coral Research Clinic Corp, Miami, Florida, United States|Arthritis Research of Florida, Inc, Palm Harbor, Florida, United States|Sarasota Arthritis Research Center, Sarasota, Florida, United States|West Broward Rheumatology Associates, Inc, Tamarac, Florida, United States|North Georgia Rheumatology Group, Lawrenceville, Georgia, United States|Arthritis Research Center Foundation, NDB, Wichita, Kansas, United States|Ochsner Clinic Baton Rouge, Baton Rouge, Louisiana, United States|Ochsner Clinic Foundation, New Orleans, New Orleans, Louisiana, United States|Rheumatology & Osteoporosis Specialists, Shreveport, Louisiana, United States|Boston Medical Center, Boston, Massachusetts, United States|Pine Hollow Partners, East Lansing, Michigan, United States|St. Paul Rheumatology, Eagan, Minnesota, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|The Center for Rheumatology, LLP, Albany, New York, United States|Mary Imogene Bassett Hospital, Bassett Research Institute, Cooperstown, New York, United States|The Ohio State University, Columbus, Ohio, United States|Oregon Health & Science University, Portland, Oregon, United States|Altoona Center for Clinical Research, Duncansville, Pennsylvania, United States|Carolina Health Specialists, Myrtle Beach, South Carolina, United States|Arthritis Associates, PLLC, Hixson, Tennessee, United States|West Tennessee Research Institute, Jackson, Tennessee, United States|Southwest Rheumatology Research, LLC, Mesquite, Texas, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, United States|West Virginia Research Institute, PLLC, South Charleston, West Virginia, United States",,"https://ClinicalTrials.gov/show/NCT02538341"
846,"NCT03724929","Value of Pharmacokinetic Assays in the Prediction of Therapeutic Response in Ulcerative Colitis","PREDIRESPUC","Recruiting","No Results Available","Ulcerative Colitis","Procedure: Blood sample|Device: Rectosigmoidoscopy","Vedolizumab concentration at week 6|Vedolizumab concentration at week 14|vedolizumab concentration and anti-vedolizumab antibodies concentrations at week 2|vedolizumab concentration and anti-vedolizumab antibodies concentrations at week 14|Vedolizumab concentration at week 6 and mucosal healing|Vedolizumab concentration at week 14 and mucosal healing|intra and inter-individual heterogeneity of VDZ levels|Proportion of loss of clinical response|Variation of serum VDZ|vedolizumab concentration and anti-vedolizumab antibodies concentrations","Centre Hospitalier Universitaire de Saint Etienne|Takeda|Theradiag","All","18 Years and older   (Adult, Older Adult)","Not Applicable","125","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","1708213|2018-001051-12","March 4, 2019","September 2023","September 2024","October 30, 2018",,"May 21, 2021","CHU Amiens, Amiens, France|CHU Kremlin Bicêtre, Le Kremlin-Bicêtre, France|Chu L'Archet, Nice, France|Ch Lyon Sud, Pierre-Bénite, France|CHU Saint-Etienne, Saint-Étienne, France",,"https://ClinicalTrials.gov/show/NCT03724929"
